SYMBOL	mean	std
A1BG	0.32863128	0.19911614
A1CF	0.08900229	0.20966257
A2M	9.03448	1.0116094
A2ML1	1.5143596	1.9968672
A4GALT	3.9682975	1.0200893
A4GNT	0.07944611	0.107573465
AA06	0.0018992684	0.022580065
AAAS	5.3493333	0.446021
AACS	5.7525377	0.6511889
AACSP1	0.17287953	0.45996144
AADAC	0.23362577	0.48463956
AADACL2	0.053717926	0.28686216
AADACL3	0.024562774	0.13776577
AADACL4	0.0042937035	0.015193519
AADAT	2.064336	1.0840219
AAK1	5.5621204	0.5580062
AAMDC	2.8304539	0.7738275
AAMP	6.9749894	0.5363518
AANAT	0.18021934	0.21407904
AAR2	6.0275927	0.44139764
AARD	4.5160775	2.026904
AARS1	7.28801	0.6731915
AARS2	4.599486	0.52659166
AASDH	4.045314	0.54883283
AASDHPPT	5.1861053	0.57601213
AASS	3.3733008	0.925612
AATBC	1.530529	0.93917817
AATF	6.0177007	0.568767
AATK	2.874245	0.9942443
ABAT	5.2996197	1.7661942
ABCA1	5.284557	0.9049303
ABCA10	1.3088979	0.941394
ABCA11P	1.009135	0.42281953
ABCA12	3.2698054	2.1343534
ABCA13	0.6633934	1.2017955
ABCA17P	1.0596211	0.64561474
ABCA2	6.092812	0.8485225
ABCA3	6.5030584	1.1552924
ABCA4	1.9196593	1.325565
ABCA5	4.060682	0.95082515
ABCA6	2.4913867	1.1023595
ABCA7	4.2344103	0.8305834
ABCA8	2.3989794	1.5070404
ABCA9	2.0078845	1.1463481
ABCB1	2.2430727	1.0309837
ABCB10	4.7888026	0.5889562
ABCB11	0.26588088	0.4199964
ABCB4	1.5322131	0.5529734
ABCB5	0.4380656	0.57892185
ABCB6	0.516494	0.28886557
ABCB7	4.79311	0.4295656
ABCB8	5.3081436	0.5943393
ABCB9	3.556391	0.85622686
ABCC1	6.09781	0.6355979
ABCC10	4.6032166	0.52088964
ABCC11	4.1071296	2.557013
ABCC12	0.9236431	1.275997
ABCC13	1.00436	1.5419164
ABCC2	1.1755352	0.9969449
ABCC3	4.3313375	1.3625703
ABCC4	3.2494698	1.1964014
ABCC5	6.0840106	1.0784765
ABCC6	2.0847113	1.2150098
ABCC8	2.6832213	1.8505503
ABCC9	3.341258	1.0093244
ABCD1	4.6067758	0.8101315
ABCD2	1.0843399	0.8081449
ABCD3	6.6913605	0.87098867
ABCD4	4.7599254	0.54551464
ABCE1	6.1020446	0.5310111
ABCF1	6.665452	0.49165305
ABCF2	4.3788657	0.51845855
ABCF3	6.0678544	0.4367623
ABCG1	5.58962	0.979577
ABCG2	2.1379132	0.92049843
ABCG4	0.26414144	0.19940259
ABCG5	0.23353553	0.1959459
ABCG8	0.2011985	0.28685927
ABHD1	1.1826953	0.6162312
ABHD10	5.083702	0.5068993
ABHD11	5.6082687	0.84138626
ABHD11-AS1	0.978201	0.7598585
ABHD12	6.441945	0.6526093
ABHD12B	1.0336858	1.193887
ABHD13	4.449104	0.5244978
ABHD14A	2.3911622	0.67270863
ABHD14B	5.9515486	0.6951374
ABHD15	4.276343	0.68796957
ABHD16A	0.94301504	0.3532971
ABHD16B	0.0	1e-06
ABHD17A	4.8043833	0.64868563
ABHD17AP3	0.047052514	0.064511836
ABHD17B	4.0000067	0.56067276
ABHD17C	4.9217935	0.8663941
ABHD18	3.6899989	0.50351167
ABHD2	7.411275	1.2486693
ABHD3	4.6763477	0.8691234
ABHD4	5.4949045	0.60903704
ABHD5	5.3150764	0.51088333
ABHD6	2.8849277	0.68341255
ABHD8	3.5032523	0.6680945
ABI1	6.3070617	0.4540272
ABI2	5.9459023	0.5587657
ABI3	3.38683	0.7597459
ABI3BP	4.044951	1.5176936
ABITRAM	4.533884	0.51331973
ABL1	6.74345	0.49936867
ABL2	5.893705	0.5709711
ABLIM1	6.765957	0.8967996
ABLIM2	2.3718784	0.8083722
ABLIM3	4.600166	1.5170428
ABO	1.9521323	1.3667297
ABR	6.377266	0.60297847
ABRA	0.04885121	0.18950531
ABRACL	5.219568	0.88195574
ABRAXAS1	2.8610806	0.6037377
ABRAXAS2	4.830044	0.42832857
ABT1	4.9916825	0.4623492
ABTB1	4.686161	0.78746647
ABTB2	3.1173706	1.1693897
ACAA1	5.3644505	0.6344905
ACAA2	5.2658935	0.6871615
ACACA	6.8175774	0.8522976
ACACB	4.547339	1.2243026
ACAD10	4.8608856	0.5170484
ACAD11	0.3326294	0.22890604
ACAD8	4.6473155	0.6128943
ACAD9	5.4319525	0.42816097
ACADL	0.67813617	0.88911533
ACADM	5.6197734	0.6838276
ACADS	3.9908364	1.0454913
ACADSB	6.245744	1.4860109
ACADVL	7.532855	0.6947049
ACAN	2.195412	1.3133888
ACAP1	3.21264	1.1223543
ACAP2	5.94418	0.63259095
ACAP3	5.122566	0.7740212
ACAT1	5.3079	0.7085746
ACAT2	4.167479	0.7758891
ACBD3	6.541659	0.56905025
ACBD4	3.5151525	0.93609333
ACBD5	5.5085287	0.64100075
ACBD6	5.551251	0.48168027
ACBD7	2.0142224	1.10937
ACCS	3.4874854	0.8268703
ACCSL	0.015386815	0.055505328
ACD	4.157076	0.5996479
ACE	4.1131215	0.8608127
